Id,Time[ns],0:UART: RX/TX
802,3891945100.00,5
803,3891956300.00,9
804,3891967400.00,9
805,3891978500.00,A
806,3891989600.00,1
807,3892000700.00,[1B]
808,3892011900.00,[1D]
809,3892023100.00,#
810,3892034200.00,[8B]
811,3892045300.00,[87]
812,3892056400.00,[87]
813,3892067500.00,[07]
814,3892078700.00,[87]
815,3892089800.00,[E5]
816,3892104600.00,[8D]
817,3892116200.00,[92]
818,3892127500.00,[93]
819,3892137900.00,[A3]
820,3892154500.00,[9D]
821,3892167800.00,7
822,3892178900.00,[1B]
823,3892190000.00,[A3]
824,3892201200.00,5
825,3892212300.00,9
826,3892223400.00,9
827,3892234600.00,A
828,3892245700.00,%
829,3892256800.00,[1D]
830,3892267900.00,[07]
831,3892279000.00,[8B]
832,3892290200.00,[87]
833,3892301300.00,[87]
834,3892312500.00,[07]
835,3892323600.00,[87]
836,3892334800.00,[E5]
837,3892349600.00,[8D]
838,3892361500.00,[93]
839,3892372600.00,[93]
840,3892383100.00,[A3]
841,3892399600.00,[9D]
842,3892412900.00,7
843,3892424100.00,[1B]
844,3892435200.00,[A3]
845,3892446300.00,[19]
846,3892457500.00,[1B]
847,3892468600.00,[1B]
848,3892479700.00,A
849,3892490800.00,[07]
850,3892501900.00,[1D]
851,3892513100.00,[17]
852,3892524300.00,[17]
853,3892535400.00,5
854,3892546500.00,[1B]
855,3892557600.00,#
856,3892568700.00,[87]
857,3892579800.00,[8B]
858,3892591000.00,[87]
859,3892602100.00,[87]
860,3892613300.00,[07]
861,3892624400.00,[00]
862,3892640400.00,c
863,3892651500.00,f
864,3892663700.00,[A6]
865,3892674800.00,[A6]
866,3892686000.00,[A6]
867,3892697800.00,[98]
868,3892708900.00,[98]
869,3892719400.00,[A6]
870,3892731700.00,[CE]
871,3892744000.00,[E3]
872,3892757400.00,[BA]
873,3892768500.00,[DA]
874,3892782900.00,A
875,3892794000.00,'
876,3892805100.00,7
877,3892816200.00,[1B]
878,3892827400.00,[A3]
879,3892838500.00,[19]
880,3892849700.00,[1B]
881,3892860800.00,[1B]
882,3892871900.00,A
883,3892883000.00,[07]
884,3892894200.00,[1D]
885,3892905300.00,[17]
886,3892916400.00,[17]
887,3892927600.00,5
888,3892938700.00,[1B]
889,3892949800.00,#
890,3892961000.00,[9D]
891,3892972100.00,[8B]
892,3892983200.00,[87]
893,3892994300.00,[87]
894,3893005400.00,[07]
895,3893016600.00,[00]
896,3893027600.00,M
897,3893038700.00,e
898,3893050900.00,[B2]
899,3893062100.00,[B3]
900,3893075800.00,h
901,3893091900.00,7
902,3893103000.00,[9D]
903,3893114100.00,[E5]
904,3893128700.00,[0D]
905,3893182300.00,[D3]
906,3893193000.00,[93]
907,3893203400.00,[A3]
908,3893220000.00,[CD]
909,3893233300.00,[1B]
910,3893244500.00,5
911,3893255600.00,[1D]
912,3893266700.00,[87]
913,3893277800.00,[85]
914,3893289000.00,[87]
915,3893300100.00,[87]
916,3893311300.00,[95]
917,3893322500.00,[E5]
918,3893337000.00,[8D]
919,3893348300.00,[A3]
920,3893363800.00,[EA]
921,3893378100.00,[1B]
922,3893389300.00,7
923,3893400400.00,[87]
924,3893411500.00,-
925,3893422600.00,7
926,3893433800.00,[87]
927,3893444900.00,[85]
928,3893456000.00,[87]
929,3893467200.00,[C8]
930,3893481000.00,[9D]
931,3893492100.00,[95]
932,3893503200.00,[97]
933,3893514400.00,[87]
934,3893525600.00,[99]
935,3893536700.00,[99]
936,3893547800.00,[97]
937,3893558900.00,[E5]
938,3893573700.00,[8D]
939,3893585300.00,[92]
940,3893596400.00,[92]
941,3893607000.00,[A3]
942,3893618900.00,[98]
943,3893629800.00,[92]
944,3893643000.00,h
945,3893654700.00,[D4]
946,3893665200.00,h
947,3893677000.00,[D4]
948,3893687600.00,`
949,3893699300.00,T
950,3893711500.00,Z
951,3893725900.00,[87]
952,3893737000.00,[99]
953,3893748200.00,[9B]
954,3893759400.00,[87]
955,3893770500.00,[87]
956,3893781600.00,[E5]
957,3893796400.00,[8D]
958,3893811900.00,[CB]
959,3893822900.00,[CB]
960,3893834000.00,;
961,3893848500.00,Y
962,3893859700.00,[1D]
963,3893870800.00,e
964,3893881900.00,Y
965,3893893000.00,U
966,3893904200.00,c
967,3893915300.00,q
968,3893926500.00,[87]
969,3893937600.00,7
970,3893948700.00,w
971,3893959800.00,[
972,3893970900.00,[87]
973,3893982100.00,[B9]
974,3893993200.00,[B9]
975,3894004400.00,[B9]
976,3894015500.00,[E5]
977,3894030100.00,[8D]
978,3894041200.00,[A4]
979,3894056700.00,:
980,3894071000.00,7
981,3894082200.00,7
982,3894093300.00,[1B]
983,3894104400.00,[87]
984,3894115500.00,[07]
985,3894126700.00,-
986,3894137800.00,#
987,3894149000.00,[87]
988,3894160100.00,[19]
989,3894171200.00,5
990,3894182300.00,[17]
991,3894193400.00,[E5]
992,3894208100.00,[8D]
993,3894220000.00,[13]
994,3894231400.00,[D3]
995,3894242100.00,[91]
996,3894253700.00,S
997,3894267900.00,[BA]
998,3894282400.00,[87]
999,3894293500.00,[07]
1000,3894304600.00,[1D]
1001,3894315800.00,[1B]
1002,3894327000.00,[17]
1003,3894338100.00,[87]
1004,3894349200.00,#
1005,3894360300.00,[15]
1006,3894371400.00,%
1007,3894382600.00,[1B]
1008,3894393700.00,5
1009,3894404900.00,[1B]
1010,3894416000.00,[8B]
1011,3894427100.00,[87]
1012,3894438200.00,[9D]
1013,3894449400.00,[87]
1014,3894460500.00,[87]
1015,3894471600.00,[E5]
1016,3894486200.00,[8D]
1017,3894497900.00,[86]
1018,3894509600.00,[D3]
1019,3894520700.00,Q
1020,3894531900.00,S
1021,3894545800.00,2
1022,3894556300.00,t
1023,3894571800.00,7
1024,3894582900.00,7
1025,3894594100.00,[1B]
1026,3894605200.00,[87]
1027,3894616300.00,3
1028,3894627400.00,[1B]
1029,3894638600.00,5
1030,3894649700.00,[0D]
1031,3894660800.00,[8B]
1032,3894672000.00,[87]
1033,3894683100.00,9
1034,3894694200.00,[87]
